,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-4.197,0.121,-4.422,-3.965,0.006,0.004,366.0,523.0,1.01
sh[0],0.037,0.121,-0.198,0.26,0.006,0.004,370.0,521.0,1.01
sh[1],0.002,0.126,-0.236,0.233,0.006,0.004,404.0,603.0,1.01
sh[2],0.186,0.337,-0.462,0.779,0.006,0.005,3658.0,2717.0,1.0
sh[3],-0.236,0.122,-0.465,-0.002,0.006,0.004,375.0,574.0,1.01
sh[4],-0.478,0.125,-0.715,-0.247,0.006,0.005,389.0,513.0,1.01
sh[5],-0.572,0.141,-0.824,-0.293,0.006,0.004,497.0,613.0,1.01
sh[6],0.615,0.123,0.381,0.844,0.006,0.004,380.0,555.0,1.01
sh[7],0.125,0.125,-0.108,0.359,0.006,0.005,385.0,564.0,1.01
sh[8],-0.068,0.125,-0.308,0.16,0.006,0.005,387.0,558.0,1.01
sh[9],-0.951,0.159,-1.245,-0.662,0.006,0.004,674.0,1136.0,1.0
sh[10],-0.469,0.123,-0.695,-0.229,0.006,0.004,390.0,556.0,1.01
sh[11],0.044,0.13,-0.177,0.312,0.006,0.004,433.0,687.0,1.01
sh[12],0.198,0.122,-0.032,0.428,0.006,0.004,372.0,523.0,1.01
sh[13],0.469,0.123,0.248,0.706,0.006,0.004,382.0,563.0,1.01
sh[14],0.547,0.122,0.332,0.789,0.006,0.004,371.0,520.0,1.01
sh[15],1.154,0.121,0.939,1.397,0.006,0.004,369.0,521.0,1.01
sh[16],-0.815,0.126,-1.056,-0.58,0.006,0.005,383.0,543.0,1.01
sh[17],0.004,0.123,-0.213,0.256,0.006,0.004,379.0,573.0,1.01
sh[18],0.483,0.121,0.254,0.713,0.006,0.004,371.0,529.0,1.01
sh[19],0.076,0.121,-0.146,0.31,0.006,0.004,370.0,530.0,1.01
sh[20],0.453,0.124,0.235,0.708,0.006,0.005,377.0,529.0,1.01
sh[21],0.567,0.127,0.338,0.809,0.006,0.005,389.0,581.0,1.01
sh[22],-0.276,0.124,-0.517,-0.049,0.006,0.004,383.0,532.0,1.01
sh[23],-1.473,0.123,-1.69,-1.232,0.006,0.004,374.0,547.0,1.01
sh_sigma,0.608,0.097,0.442,0.783,0.002,0.001,4311.0,2494.0,1.0
log_incidence[0],-0.178,0.002,-0.181,-0.174,0.0,0.0,4906.0,2554.0,1.0
log_incidence[1],-2.311,0.012,-2.333,-2.288,0.0,0.0,5459.0,2458.0,1.0
log_incidence[2],-2.999,0.017,-3.034,-2.969,0.0,0.0,5143.0,2814.0,1.0
log_incidence[3],-4.797,0.045,-4.884,-4.713,0.001,0.0,4874.0,2597.0,1.0
log_incidence[4],-5.722,0.07,-5.849,-5.586,0.001,0.001,5360.0,2594.0,1.0
log_incidence[5],-7.518,0.174,-7.84,-7.189,0.002,0.002,5011.0,2992.0,1.0
log_incidence[6],-9.528,0.475,-10.41,-8.678,0.008,0.006,4124.0,2228.0,1.0
log_incidence[7],-6.452,0.104,-6.639,-6.259,0.001,0.001,5495.0,2545.0,1.0
