SettoreAttivitaEconomica,1,2,3,4,5,6,7,8,Anno,NumeroLavoratori,sector
C 10,449,49,38,4,1,1,0,0,2015,33974,1
C 10,466,60,22,2,2,1,0,0,2016,34178,1
C 10,407,52,26,3,2,0,0,1,2017,35540,1
C 10,478,58,23,7,2,0,0,0,2018,36177,1
C 10,475,47,20,5,3,0,0,0,2019,36262,1
C 10,395,56,34,3,0,0,0,1,2020,35917,1
C 10,461,57,36,7,1,0,0,2,2021,36290,1
C 10,450,57,43,5,2,0,0,1,2022,36351,1
C 10,504,64,41,1,5,0,0,0,2023,37111,1
C 10,564,69,42,1,2,0,0,1,2024,37417,1
C 11,59,4,5,1,0,0,0,0,2015,4379,2
C 11,52,3,4,2,0,0,0,0,2016,4256,2
C 11,63,7,2,0,0,0,0,0,2017,4241,2
C 11,65,7,5,1,0,0,0,0,2018,4350,2
C 11,55,6,5,0,1,0,0,1,2019,4358,2
C 11,50,7,2,1,0,0,0,0,2020,4333,2
C 11,64,3,6,0,1,0,0,2,2021,4429,2
C 11,47,8,4,1,0,0,0,0,2022,4673,2
C 11,57,5,7,3,0,0,0,0,2023,4788,2
C 11,46,8,2,0,0,0,0,0,2024,4781,2
C 12,1,1,0,0,0,0,0,0,2016,92,3
C 12,1,0,0,0,0,0,0,0,2018,92,3
C 12,3,0,0,0,0,0,0,0,2019,74,3
C 12,1,0,0,0,0,0,0,0,2021,82,3
C 13,198,23,8,1,0,0,0,0,2015,18276,4
C 13,213,27,7,1,0,0,0,0,2016,18119,4
C 13,200,24,15,1,1,0,0,0,2017,18309,4
C 13,228,25,8,2,2,0,0,0,2018,18576,4
C 13,199,20,4,2,0,0,0,0,2019,18338,4
C 13,116,10,11,1,4,1,0,0,2020,17598,4
C 13,146,14,9,1,0,1,0,0,2021,17557,4
C 13,192,21,12,2,0,0,0,0,2022,17755,4
C 13,182,24,6,0,0,1,0,0,2023,17890,4
C 13,143,25,6,0,0,0,0,1,2024,17574,4
C 14,60,8,6,1,0,0,0,0,2015,8215,5
C 14,48,11,2,2,0,0,0,0,2016,8196,5
C 14,57,7,5,3,0,0,0,0,2017,8135,5
C 14,61,7,4,1,0,0,0,1,2018,8004,5
C 14,48,7,0,0,0,0,0,0,2019,8013,5
C 14,52,8,3,0,0,0,0,0,2020,7810,5
C 14,67,4,3,0,0,0,0,1,2021,6910,5
C 14,59,6,2,0,0,0,0,0,2022,7083,5
C 14,77,4,3,1,1,0,0,0,2023,7111,5
